City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
68,kralendijk,12.15,-68.2667,89.58,66,40,6.91,BQ,2023-10-29 15:23:22
69,show low,34.2542,-110.0298,58.08,34,0,11.5,US,2023-10-29 15:23:22
70,boende,-0.2167,20.8667,76.59,74,21,1.74,CD,2023-10-29 15:23:22
71,murzuq,25.9155,13.9184,76.24,19,0,8.19,LY,2023-10-29 15:23:22
72,jamaame,0.0697,42.745,79.25,80,76,8.01,SO,2023-10-29 15:23:23
73,remire-montjoly,4.9167,-52.2667,89.64,62,0,11.5,GF,2023-10-29 15:23:23
74,cadale,2.7603,46.3222,78.82,81,100,10.56,SO,2023-10-29 15:23:23
75,zacualtipan,20.65,-98.6,71.24,60,31,7.07,MX,2023-10-29 15:21:18
76,ceres,37.5949,-120.9577,68.79,30,0,3.44,US,2023-10-29 15:21:05
77,college,64.8569,-147.8028,29.89,81,75,4.61,US,2023-10-29 15:23:24
78,keelung,25.1283,121.7419,75.06,86,86,6.89,TW,2023-10-29 15:23:24
79,al wajh,26.2455,36.4525,80.55,41,0,4.61,SA,2023-10-29 15:23:25
80,adrar,20.5022,-10.0711,83.35,15,0,3.67,MR,2023-10-29 15:23:25
81,steinkjer,64.193,11.3851,25.74,88,100,1.92,NO,2023-10-29 15:23:25
82,chimore,-16.9833,-65.1333,90.25,52,85,5.14,BO,2023-10-29 15:23:25
83,contamana,-7.3333,-75.0167,82.26,70,100,7.56,PE,2023-10-29 15:23:26
84,bayganin,48.6947,55.8742,48.97,73,0,18.88,KZ,2023-10-29 15:23:26
85,kimbe,-5.5502,150.1429,74.8,92,100,3.6,PG,2023-10-29 15:23:26
86,riohacha,11.5444,-72.9072,84.02,71,100,6.31,CO,2023-10-29 15:23:27
87,awjilah,29.1081,21.2869,74.66,36,0,6.13,LY,2023-10-29 15:23:27
88,bathsheba,13.2167,-59.5167,84.81,79,40,16.11,BB,2023-10-29 15:23:27
89,miles city,46.4083,-105.8406,27.57,68,75,11.5,US,2023-10-29 15:20:18
90,mount isa,-20.7333,139.5,67.77,73,96,0.0,AU,2023-10-29 15:23:27
91,nieuw amsterdam,5.8833,-55.0833,91.02,68,92,15.17,SR,2023-10-29 15:23:27
92,gusinoozyorsk,51.2833,106.5,24.17,48,100,5.86,RU,2023-10-29 15:23:28
93,lebu,-37.6167,-73.65,50.27,65,97,14.16,CL,2023-10-29 15:23:28
94,klyuchi,52.2667,79.1667,30.47,93,100,4.59,RU,2023-10-29 15:23:28
95,bredasdorp,-34.5322,20.0403,56.26,61,0,20.56,ZA,2023-10-29 15:22:39
96,anadyr,64.75,177.4833,28.9,92,75,15.66,RU,2023-10-29 15:23:29
97,afaahiti,-17.75,-149.2833,82.27,82,29,14.99,PF,2023-10-29 15:23:29
98,koungou,-12.7336,45.2042,80.31,83,0,6.91,YT,2023-10-29 15:23:29
99,midvagur,62.0511,-7.1939,38.23,75,75,3.44,FO,2023-10-29 15:23:29
100,guozhen,34.3659,107.359,60.3,60,2,3.8,CN,2023-10-29 15:23:30
101,hithadhoo,-0.6,73.0833,80.65,81,99,15.93,MV,2023-10-29 15:23:30
102,sahawar,27.8,78.85,72.5,47,0,5.99,IN,2023-10-29 15:23:30
103,nova sintra,14.8667,-24.7167,73.67,67,73,9.66,CV,2023-10-29 15:23:30
104,hovd,48.0056,91.6419,32.25,66,8,1.32,MN,2023-10-29 15:23:31
105,yokadouma,3.5167,15.05,72.97,88,53,1.9,CM,2023-10-29 15:23:31
106,tingo maria,-9.2895,-76.0088,79.39,80,100,1.12,PE,2023-10-29 15:23:31
107,markaz-e hukumat-e darweshan,31.1323,64.1934,70.38,34,96,3.56,AF,2023-10-29 15:23:31
